1,"""Campus1 Address""","""123456789""","""Home1 Address""","""1234567890""",2
2,"""Campus2 Address""","""123456790""","""Home2 Address""","""1234567891""",0
3,"""Campus3 Address""","""123456791""","""Home3 Address""","""1234567892""",5
4,"""Campus4 Address""","""123456792""","""Home4 Address""","""1234567893""",1
5,"""Campus5 Address""","""123456793""","""Home5 Address""","""1234567894""",3
6,"""Campus6 Address""","""123456794""","""Home6 Address""","""1234567895""",0
7,"""Campus7 Address""","""123456795""","""Home7 Address""","""1234567896""",2
8,"""Campus8 Address""","""123456796""","""Home8 Address""","""1234567897""",4
9,"""Campus9 Address""","""123456797""","""Home9 Address""","""1234567898""",1
10,"""Campus10 Address""","""123456798""","""Home10 Address""","""1234567899""",6
